ссылка,комнаты,площадь,этаж,цена в месяц,залог,комиссия,ЖКУ и счетчики,адрес,станция метро,шаговая доступность,ссылка на агенство,агенство,количество завершенных сделок ,реквизиты статус
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_262_m_928_et._3612115282,Апартаменты-студия,"26,2 м²",9/28 эт.,75 000  , 75 000 ,0%,ЖКУ включены без счетчиков,"Волоколамское ш., 24к1",Стрешнево,до 5 мин.,,,,
https://www.avito.ru/moskva/kvartiry/6-k._kvartira_227_m_721_et._2334175091,6-к. квартира,227 м²,7/21 эт.,223 000  , 223 000 , 50%,ЖКУ включены без счетчиков,"ул. Стасовой, 4",Ленинский проспект,6–10 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/3-k._kvartira_55_m_45_et._3655948126,3-к. квартира,55 м²,4/5 эт.,90 000  , 90 000 , 35%,Все ЖКУ включены,"ул. 1905 года, 16",Беговая,6–10 мин.,https://www.avito.ru/user/a01f6393f2f68c78f56c9fc0809b0393/profile?src=search_seller_info,"Агентство недвижимости ""Мой Дом""",16243,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/6-k._kvartira_220_m_1848_et._3614547298,6-к. квартира,220 м²,18/48 эт.,400 000  , 400 000 ,0%,ЖКУ включены без счетчиков,"Авиационная ул., 79к1",Щукинская,11–15 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/4-k._kvartira_170_m_911_et._2046796527,4-к. квартира,170 м²,9/11 эт.,1 000 000  , 1 000 000 ,0%,ЖКУ включены без счетчиков,"Трубецкая ул., 12",Фрунзенская,6–10 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_23_m_717_et._3630591496,Квартира-студия,23 м²,7/17 эт.,40 000  , 40 000 ,0%,ЖКУ включены без счетчиков,"пос. Коммунарка, ул. Александры Монаховой, 87к1",Коммунарка,21–30 мин.,,,,
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_18_m_56_et._2652362530,Апартаменты-студия,18 м²,5/6 эт.,50 000  ,50 000 ,0%,ЖКУ включены без счетчиков,"Гостиничный пр., 8к1",,до 5 мин.,,1 день назад,,
https://www.avito.ru/moskva/kvartiry/2-k._kvartira_65_m_35_et._2930389331,2-к. квартира,65 м²,3/5 эт.,130 000  ,130 000 ,0%,ЖКУ включены без счетчиков,"ул. Большая Полянка, 19",,до 5 мин.,https://www.avito.ru/user/6bb9c5e623ff8d9567e1da6e18d5e4e6/profile?src=search_seller_info,1 день назад,IntermarkLettings,Онлайн-показ
https://www.avito.ru/moskva/kvartiry/5-k._kvartira_145_m_2542_et._3485825404,5-к. квартира,145 м²,25/42 эт.,400 000  , 400 000 ,0%,ЖКУ включены без счетчиков,"Мосфильмовская ул., 70к2",Минская,11–15 мин.,https://www.avito.ru/user/426fe2c9c4a24ce281190a0c4af63287/profile?src=search_seller_info,Apple Real Estate,8672,Реквизиты проверены
https://www.avito.ru/moskva/kvartiry/4-k._kvartira_94_m_214_et._3836980711,4-к. квартира,94 м²,2/14 эт.,150 000  , 75 000 ,0%,ЖКУ 2 500 ₽ + счетчики,"Сельскохозяйственная ул., 39",Ботанический сад,16–20 мин.,,,,
